Thoury,1
Tour-en-Sologne,2
Vallières-les-Grandes,1
Vernou-en-Sologne,1
Veuves,0
Vievy-le-Rayé,1
Villefranche-sur-Cher,0
Villeherviers,0
Villemardy,1
Villermain,1
Villetrun,1
Villexanton,1
Vineuil,0
Vouzon,1
"
DÉPARTEMENT DU LOIRET",0
"
Communes d'Amilly",0
Ardon,1
Artenay,1
Aschères-le-Marché,1
Attray,1
Aulnay-la-Rivière,0
Auvilliers-en-Gâtinais,1
Auxy,2
Bardon (Le),1
Batilly-en-Gâtinais,2
Baule,0
Bazoches-les-Gallerandes,1
Beauchamps-sur-Huillard,2
Beaugency,0
Beaune-la-Rolande,2
Bellegarde,2
Bignon-Mirabeau (Le),1
Boësses,1
Boigny-sur-Bionne,1
Boiscommun,2
Boismorand,1
Bonnée,0
Bordes (Les),0
Bou,0
Bouilly-en-Gâtinais,1
Boulay-les-Barres,1
Bouzonville-aux-Bois,1
Bouzy-la-Forêt,1
Bray-en-Val,0
Briarres-sur-Essonne,0
Bricy,1
Bucy-le-Roi,1
Bussière (La),1
Cepoy,0
Cercottes,1
Cerdon,1
Chailly-en-Gâtinais,1
Chaingy,0
Châlette-sur-Loing,0
Chanteau,1
Chantecoq,1
Chapelle-Onzerain (La),1
Chapelle-Saint-Mesmin (La),0
Chapelle-Saint-Sépulcre (La),1
Chapelle-sur-Aveyron (La),2
Chapelon,1
Châteauneuf-sur-Loire,0
Château-Renard,0
Châtenoy,2
Châtillon-Coligny,0
Chaussy,1
Chécy,0
Chevannes,1
Chevillon-sur-Huillard,1
Chevilly,1
Chevry-sous-le-Bignon,1
Chilleurs-aux-Bois,1
Chuelles,1
Cléry-Saint-André,0
Coinces,1
Combreux,1
Conflans-sur-Loing,0
Corbeilles,2
Corquilleroy,0
Cortrat,1
Coudroy,2
Coullons,1
Coulmiers,1
Courcelles,1
Courcy-aux-Loges,1
Cour-Marigny (La),1
Courtemaux,1
Courtempierre,1
Courtenay,1
Crottes-en-Pithiverais,1
Dadonville,1
Dampierre-en-Burly,0
Darvoy,0
Dimancheville,0
Donnery,2
Douchy,0
Dry,0
Egry,1
Ervauville,1
Escrennes,1
Escrignelles,1
Estouy,1
Faverelles,1
Fay-aux-Loges,1
Férolles,0
Ferrières-en-Gâtinais,0
Ferté-Saint-Aubin (La),2
Fleury-les-Aubrais,1
Fontenay-sur-Loing,0
Foucherolles,1
Gaubertin,1
Gémigny,1
Gidy,1
Gien,0
Girolles,0
Gondreville,1
Greneville-en-Beauce,1
Griselles,1
Guilly,0
Gy-les-Nonains,0
Huisseau-sur-Mauves,1
Ingrannes,1
Ingré,0
Isdes,1
Jargeau,0
Jouy-en-Pithiverais,1
Jouy-le-Potier,1
Juranville,2
Ladon,2
Langesse,1
Ligny-le-Ribault,0
(2) Lion-en-Sullias,0
Lorcy,2
Lorris,1
Louzouer,1
Marcilly-en-Villette,0
Mardié,0
Mareau-aux-Bois,1
Mareau-aux-Prés,0
Marigny-les-Usages,1
Ménestreau-en-Villette,1
Mérinville,1
Messas,1
Meung-sur-Loire,0
Mézières-lez-Cléry,1
Mézières-en-Gâtinais,2
Mignères,1
Mignerette,1
Montargis,0
Montbarrois,2
Montbouy,0
Montcresson,0
Montereau,1
Montigny,1
Montliard,2
Mormant-sur-Vernisson,1
Moulinet-sur-Solin (Le),1
Moulon,1
Nancray-sur-Rimarde,1
Nargis,0
Nesploy,1
Neuville-aux-Bois,1
Neuville-sur-Essonne (La),0
Neuvy-en-Sullias,0
Nibelle,1
Nogent-sur-Vernisson,2
Noyers,3
Olivet,0
Orléans,0
Ormes,1
Orville,0
Oussoy-en-Gâtinais,1
Ouvrouer-les-Champs,0
Ouzouer-des-Champs,1
Ouzouer-sous-Bellegarde,2
Ouzouer-sur-Loire,0
Ouzouer-sur-Trézée,1
Pannes,0
Patay,1
Pers-en-Gâtinais,1
Pithiviers,1
Pithiviers-le-Vieil,1
Poilly-lez-Gien,0
Presnoy,2
Pressigny-les-Pins,1
Puiseaux,0
Quiers-sur-Bézonde,3
Rebréchien,1
Rozières-en-Beauce,1
Rozoy-le-Vieil,1
Ruan,1
Saint-Aignan-des-Gués,0
Saint-Aignan-le-Jaillard,0
Saint-Ay,0
Saint-Benoît-sur-Loire,0
Saint-Brisson-sur-Loire,0
Saint-Cyr-en-Val,0
Saint-Denis-de-l'Hôtel,0
Saint-Denis-en-Val,0
Saint-Firmin-des-Bois,1
Saint-Florent,1
Sainte-Geneviève-des-Bois,0
Saint-Germain-des-Prés,0
Saint-Gondon,0
Saint-Hilaire-les-Andrésis,1
Saint-Hilaire-Saint-Mesmin,0
Saint-Hilaire-sur-Puiseaux,1
Saint-Jean-de-Braye,0
Saint-Jean-de-la-Ruelle,0
Saint-Jean-le-Blanc,0
Saint-Loup-de-Gonois,1
Saint-Lyé-la-Forêt,1
Saint-Martin-d'Abbat,0
Saint-Maurice-sur-Aveyron,1
Saint-Maurice-sur-Fessard,2
Saint-Michel,1
Saint-Pryvé-Saint-Mesmin,0
Saint-Sigismond,1
Sandillon,0
Santeau,1
Saran,1
Sceaux-du-Gâtinais,1
Selle-en-Hermoy (La),1
Selle-sur-le-Bied (La),1
Semoy,1
Sigloy,0
Sully-la-Chapelle,1
Sully-sur-Loire,0
Sury-aux-Bois,1
Tavers,0
Thimory,1
Thorailles,1
Tigy,0
Tivernon,1
Triguères,0
Trinay,1
Vannes-sur-Cosson,1
Vennecy,1
Vienne-en-Val,0
Viglain,1
Villemandeur,0
Villemoutiers,2
Villemurlin,1
Villereau,1
Villevoques,1
Villorceau,1
Vimory,1
Vitry-aux-Loges,1
Yèvre-la-Ville,1
"
DÉPARTEMENT DE MEURTHE-ET-MOSELLE",0
Communes d'Anoux,1
Boncourt,0
Briey,1
Conflans-en-Jarnisy,0
Hatrize,0
Jeandelize,0
Mance,1
Olley,0
Puxe,0
Trieux,3
Tucquegnieux,1
Valleroy.,0
"
DÉPARTEMENT DE LA MEUSE",0
"
Communes de Buzy-Darmont",0
Etain,0
Gussainville,0
Parfondrupt,0
Saint-Jean-lès-Buzy,0
Warcq.,0
"
DÉPARTEMENT DE LA MOSELLE",0
Communes de Fontoy,1
Hettange-Grande,1
Lommerange,1
Manom,0
Moyeuvre-Grande,0
Moyeuvre-Petite,1
Puttelange-lès-Thionville,1
Terville,2
Thionville.,0
"
DÉPARTEMENT DE LA SARTHE",0
Communes de Bessé-sur-Braye,1
Breil-sur-Mérize (Le),1
Chahaignes,0
Challes,1
Courdemanche,1
Dissay-sous-Courcillon,0
Marigné-Laillé,1
Moncé-en-Belin,1
Montabon,0
Montreuil-le-Henri,1
Parigné-l'Evêque,1
Montfort-le-Gesnois,0
Pruillé-l'Eguillé,1
Ruaudin,1
Saint-Calais,1
Saint-Georges-de-la-Couée,1
Saint-Gervais-en-Belin,1
Saint-Mars-d'Outillé,1
Sainte-Osmane,1
Saint-Pavace,0
Saint-Pierre-du-Lorouër,1
Saint-Vincent-du-Lorouër,1
Vancé,1
"
DÉPARTEMENT DE PARIS",0
"
Commune de Paris.",0
"
DÉPARTEMENT DE SEINE-ET-MARNE",0
Communes d'Amillis,1
Avon,0
Bagneaux-sur-Loing,0
Beauchery-Saint-Martin,1
Beaumont-du-Gâtinais,1
Bellot,0
Beton-Bazoches,1
Bezalles,1
Blandy,1
Boissettes,0
Boissise-la-Bertrand,0
Boissise-le-Roi,0
Boitron,0
Bombon,1
Boulancourt,0
Bourron-Marlotte,0
Boutigny,1
Bransles,1
Buthiers,0
Cély,1
Chailly-en-Bière,1
Chailly-en-Brie,0
Chaintreaux,1
Champagne-sur-Seine,0
Champcenest,1
Chanteloup-en-Brie,1
Chapelle-Moutils (La),0
Chartrettes,0
Chartronges,1
Château-Landon,0
Châtelet-en-Brie (Le),1
Châtillon-la-Borde,1
Chauffry,0
Chenoise,1
Chevry-en-Sereine,1
